Product_Category,Step_ID,Step_Name,Resource_Type,Process_Type,Duration_Minutes_Per_Batch,Min_Capacity_Required_Liters,Compatible_Resource_IDs,Requires_Setup,Requires_CIP_After,Max_Batch_Size
SELECT-CURD,SEL-CRD-MST-STANDARDISATION,MST Standardisation,Tank,Preprocessing,480,0.0,"MST-1,MST-2,MST-3,MST-4,MST-5",False,False,0
SELECT-CURD,SEL-CRD-PAST,Pasteurisation,Equipment,Preprocessing,60,0.0,PST-1,False,False,0
SELECT-CURD,SEL-CRD-LT-STANDARDISATION-INNOCULATION,LT Standardisation,Tank,Preprocessing,60,0.0,"LT-1,LT-2,LT-3",False,False,0
SELECT-CURD,SEL-CRD-PACKING,Packing,Line,Packaging,60,0.0,"BUCKET-LINE-1,CUP-LINE-1",False,False,0
LOW-FAT-CURD,LF-CRD-MST-STANDARDISATION,MST Standardisation,Tank,Preprocessing,480,0.0,"MST-1,MST-2,MST-3,MST-4,MST-5",False,False,0
LOW-FAT-CURD,LF-CRD-PAST,Pasteurisation,Equipment,Preprocessing,60,0.0,PST-1,False,False,0
LOW-FAT-CURD,LF-CRD-LT-STANDARDISATION-INNOCULATION,LT Standardisation,Tank,Processing,60,0.0,LT-1,False,False,0
LOW-FAT-CURD,LF-CRD-PACKING,Packing,Line,Packaging,60,0.0,"BUCKET-LINE-1,CUP-LINE-1",False,False,0
PLN-POUCH-CURD,PLN-CRD-MST-STANDARDISATION,MST Standardisation,Tank,Preprocessing,480,0.0,"MST-1,MST-2,MST-3,MST-4,MST-5",False,False,0
PLN-POUCH-CURD,PLN-CRD-PAST,Pasteurisation,Equipment,Preprocessing,60,0.0,PST-1,False,False,0
PLN-POUCH-CURD,PLN-CRD-LT-STANDARDISATION-INNOCULATION,LT Standardisation,Tank,Preprocessing,60,0.0,"LT-1,LT-2,LT-3",False,False,0
PLN-POUCH-CURD,PLN-CRD-POUCH-PACKING,Packing,Line,Packaging,60,0.0,POUCH-LINE-1,False,False,0
LFT-POUCH-CURD,LFT-CRD-MST-STANDARDISATION,MST Standardisation,Tank,Preprocessing,480,0.0,"MST-1,MST-2,MST-3,MST-4,MST-5",False,False,0
LFT-POUCH-CURD,LFT-CRD-PAST,Pasteurisation,Equipment,Preprocessing,60,0.0,PST-1,False,False,0
LFT-POUCH-CURD,LFT-CRD-LT-STANDARDISATION-INNOCULATION,LT Standardisation,Tank,Preprocessing,60,0.0,"LT-1,LT-2,LT-3",False,False,0
LFT-POUCH-CURD,LFT-CRD-POUCH-PACKING,Packing,Line,Packaging,60,0.0,POUCH-LINE-1,False,False,0
ROSE-LASSI,ROSE-LASSI-MST-STANDARDISATION,ROSE-LASSI-STD,Tank,Preprocessing,480,0.0,"MST-1,MST-2,MST-3,MST-4,MST-5",False,False,0
ROSE-LASSI,ROSE-LASSI-PST,ROSE-LASSI-PST,Equipment,Preprocessing,60,0.0,PST-1,False,False,0
ROSE-LASSI,ROSE-LASSI-INNOC-INCUB,ROSE-LASSI-INNOC-INCUB,Tank,Processing,420,0.0,"LT-4,LT-5,LT-6",False,False,0
ROSE-LASSI,ROSE-LASSI-PACK,ROSE-LASSI-PACK,Line,Packaging,300,0.0,LASSI-LINE-1,False,False,0
MANGO-LASSI,MANGO-LASSI-MST-STANDARDISATION,MANGO-LASSI-STD,Tank,Preprocessing,480,0.0,"MST-1,MST-2,MST-3,MST-4,MST-5",False,False,0
MANGO-LASSI,MANGO-LASSI-PST,MANGO-LASSI-PST,Equipment,Preprocessing,60,0.0,PST-1,False,False,0
MANGO-LASSI,MANGO-LASSI-INNOC-INCUB,MANGO-LASSI-INNOC-INCUB,Tank,Processing,420,0.0,"LT-4,LT-5,LT-6",False,False,0
MANGO-LASSI,MANGO-LASSI-PACK,MANGO-LASSI-PACK,Line,Packaging,300,0.0,LASSI-LINE-1,False,False,0
SHAHI-LASSI,SHAHI-LASSI-MST-STANDARDISATION,SHAHI-LASSI-STD,Tank,Preprocessing,480,0.0,"MST-1,MST-2,MST-3,MST-4,MST-5",False,False,0
SHAHI-LASSI,SHAHI-LASSI-PST,SHAHI-LASSI-PST,Equipment,Preprocessing,60,0.0,PST-1,False,False,0
SHAHI-LASSI,SHAHI-LASSI-INNOC-INCUB,SHAHI-LASSI-INNOC-INCUB,Tank,Processing,420,0.0,"LT-4,LT-5,LT-6",False,False,0
SHAHI-LASSI,SHAHI-LASSI-PACK,SHAHI-LASSI-PACK,Line,Packaging,300,0.0,LASSI-LINE-1,False,False,0